"clade","gene","raw_cell","parsed_min","parsed_max","was_corrupted"
"Ascidiacea","ctrl","1.0",1,1,FALSE
"Ascidiacea","rrnL","1.0",1,1,FALSE
"Ascidiacea","rrnS","1.0",1,1,FALSE
"Ascidiacea","nad1","1.0",1,1,FALSE
"Ascidiacea","nad2","1.0",1,1,FALSE
"Ascidiacea","cox1","1.0",1,1,FALSE
"Ascidiacea","cox2","1.0",1,1,FALSE
"Ascidiacea","atp8","0-1",0,1,FALSE
"Ascidiacea","atp6","1.0",1,1,FALSE
"Ascidiacea","cox3","1.0",1,1,FALSE
"Ascidiacea","nad3","1.0",1,1,FALSE
"Ascidiacea","nad4l","1.0",1,1,FALSE
"Ascidiacea","nad4","1.0",1,1,FALSE
"Ascidiacea","nad5","1.0",1,1,FALSE
"Ascidiacea","nad6","1.0",1,1,FALSE
"Ascidiacea","cob","1.0",1,1,FALSE
"Ascidiacea","trnA","1.0",1,1,FALSE
"Ascidiacea","trnC","1.0",1,1,FALSE
"Ascidiacea","trnD","0-1",0,1,FALSE
"Ascidiacea","trnE","1.0",1,1,FALSE
"Ascidiacea","trnF","1.0",1,1,FALSE
"Ascidiacea","trnG","46024.0",1,2,TRUE
"Ascidiacea","trnH","46024.0",1,2,TRUE
"Ascidiacea","trnI","46024.0",1,2,TRUE
"Ascidiacea","trnK","1.0",1,1,FALSE
"Ascidiacea","trnL","2.0",2,2,FALSE
"Ascidiacea","trnM","46024.0",1,2,TRUE
"Ascidiacea","trnN","1.0",1,1,FALSE
"Ascidiacea","trnP","1.0",1,1,FALSE
"Ascidiacea","trnQ","1.0",1,1,FALSE
"Ascidiacea","trnR","1.0",1,1,FALSE
"Ascidiacea","trnS","2.0",2,2,FALSE
"Ascidiacea","trnT","46024.0",1,2,TRUE
"Ascidiacea","trnV","46024.0",1,2,TRUE
"Ascidiacea","trnW","1.0",1,1,FALSE
"Ascidiacea","trnY","46024.0",1,2,TRUE
"Bivalvia","ctrl","1.0",1,1,FALSE
"Bivalvia","rrnL","1.0",1,1,FALSE
"Bivalvia","rrnS","1.0",1,1,FALSE
"Bivalvia","nad1","1.0",1,1,FALSE
"Bivalvia","nad2","1.0",1,1,FALSE
"Bivalvia","cox1","1.0",1,1,FALSE
"Bivalvia","cox2","1.0",1,1,FALSE
"Bivalvia","atp8","0-1",0,1,FALSE
"Bivalvia","atp6","1.0",1,1,FALSE
"Bivalvia","cox3","1.0",1,1,FALSE
"Bivalvia","nad3","1.0",1,1,FALSE
"Bivalvia","nad4l","1.0",1,1,FALSE
"Bivalvia","nad4","1.0",1,1,FALSE
"Bivalvia","nad5","1.0",1,1,FALSE
"Bivalvia","nad6","1.0",1,1,FALSE
"Bivalvia","cob","1.0",1,1,FALSE
"Bivalvia","trnA","0-2",0,2,FALSE
"Bivalvia","trnC","0-5",0,5,FALSE
"Bivalvia","trnD","46024.0",1,2,TRUE
"Bivalvia","trnE","0-2",0,2,FALSE
"Bivalvia","trnF","46026.0",1,4,TRUE
"Bivalvia","trnG","0-3",0,3,FALSE
"Bivalvia","trnH","0-5",0,5,FALSE
"Bivalvia","trnI","46024.0",1,2,TRUE
"Bivalvia","trnK","0-5",0,5,FALSE
"Bivalvia","trnL","46026.0",1,4,TRUE
"Bivalvia","trnM","0-10",0,10,FALSE
"Bivalvia","trnN","46024.0",1,2,TRUE
"Bivalvia","trnP","0-1",0,1,FALSE
"Bivalvia","trnQ","46025.0",1,3,TRUE
"Bivalvia","trnR","0-3",0,3,FALSE
"Bivalvia","trnS","0-3",0,3,FALSE
"Bivalvia","trnT","46025.0",1,3,TRUE
"Bivalvia","trnV","0-2",0,2,FALSE
"Bivalvia","trnW","0-2",0,2,FALSE
"Bivalvia","trnY","0-2",0,2,FALSE
"Bivalvia","trnX","0-1",0,1,FALSE
"Bryozoa","ctrl","1.0",1,1,FALSE
"Bryozoa","rrnL","1.0",1,1,FALSE
"Bryozoa","rrnS","1.0",1,1,FALSE
"Bryozoa","nad1","1.0",1,1,FALSE
"Bryozoa","nad2","1.0",1,1,FALSE
"Bryozoa","cox1","1.0",1,1,FALSE
"Bryozoa","cox2","1.0",1,1,FALSE
"Bryozoa","atp8","1.0",1,1,FALSE
"Bryozoa","atp6","1.0",1,1,FALSE
"Bryozoa","cox3","1.0",1,1,FALSE
"Bryozoa","nad3","1.0",1,1,FALSE
"Bryozoa","nad4l","1.0",1,1,FALSE
"Bryozoa","nad4","1.0",1,1,FALSE
"Bryozoa","nad5","1.0",1,1,FALSE
"Bryozoa","nad6","1.0",1,1,FALSE
"Bryozoa","cob","1.0",1,1,FALSE
"Bryozoa","rvt","0-1",0,1,FALSE
"Bryozoa","im","0-1",0,1,FALSE
"Bryozoa","trnA","1.0",1,1,FALSE
"Bryozoa","trnC","1.0",1,1,FALSE
"Bryozoa","trnD","1.0",1,1,FALSE
"Bryozoa","trnE","1.0",1,1,FALSE
"Bryozoa","trnF","1.0",1,1,FALSE
"Bryozoa","trnG","1.0",1,1,FALSE
"Bryozoa","trnH","1.0",1,1,FALSE
"Bryozoa","trnI","1.0",1,1,FALSE
"Bryozoa","trnK","1.0",1,1,FALSE
"Bryozoa","trnL","2.0",2,2,FALSE
"Bryozoa","trnM","1.0",1,1,FALSE
"Bryozoa","trnN","0-1",0,1,FALSE
"Bryozoa","trnP","1.0",1,1,FALSE
"Bryozoa","trnQ","1.0",1,1,FALSE
"Bryozoa","trnR","1.0",1,1,FALSE
"Bryozoa","trnS","46024.0",1,2,TRUE
"Bryozoa","trnT","1.0",1,1,FALSE
"Bryozoa","trnV","1.0",1,1,FALSE
"Bryozoa","trnW","46024.0",1,2,TRUE
